2025-03-06 00:20:37,732 - Starting age/gender estimation for redis_key: 63fba3ffefff7e99be8e460ee7451b28 with backend: dlib
2025-03-06 00:20:39,925 - Age/gender analysis completed in 2.188022 seconds
2025-03-06 00:20:40,182 - Age/gender estimation completed in 2.449981 seconds
2025-03-06 00:20:41,012 - Starting age/gender estimation for redis_key: 42465f204cf78ccaa3f599dce92e717c with backend: dlib
2025-03-06 00:20:42,154 - Age/gender analysis completed in 1.138571 seconds
2025-03-06 00:20:42,417 - Age/gender estimation completed in 1.405047 seconds
2025-03-06 00:20:43,284 - Starting age/gender estimation for redis_key: c5b0787bf9bb4d030fe0e0b15d97aadb with backend: dlib
2025-03-06 00:20:45,251 - Age/gender analysis completed in 1.963398 seconds
2025-03-06 00:20:45,512 - Age/gender estimation completed in 2.227837 seconds
2025-03-06 00:20:46,416 - Starting age/gender estimation for redis_key: 5ede97d55c8ced4bc1d1167091258399 with backend: dlib
2025-03-06 00:20:48,518 - Age/gender analysis completed in 2.096402 seconds
2025-03-06 00:20:48,775 - Age/gender estimation completed in 2.358832 seconds
2025-03-06 00:21:40,057 - Starting age/gender estimation for redis_key: 20c5aa03310b6447268a2b8be13e4584 with backend: openvc
2025-03-06 00:21:40,061 - Error in Age/Gender Service: Invalid model_name passed - face_detector/openvc
2025-03-06 00:22:16,099 - Starting age/gender estimation for redis_key: 20c5aa03310b6447268a2b8be13e4584 with backend: openvc
2025-03-06 00:22:16,099 - Error in Age/Gender Service: Invalid model_name passed - face_detector/openvc
2025-03-06 00:22:41,173 - Starting age/gender estimation for redis_key: 20c5aa03310b6447268a2b8be13e4584 with backend: opencv
2025-03-06 00:22:44,092 - Age/gender analysis completed in 2.918812 seconds
2025-03-06 00:23:05,374 - Age/gender estimation completed in 24.201002 seconds
2025-03-06 00:23:06,250 - Starting age/gender estimation for redis_key: 63fba3ffefff7e99be8e460ee7451b28 with backend: opencv
2025-03-06 00:23:07,355 - Age/gender analysis completed in 1.101013 seconds
2025-03-06 00:23:07,629 - Age/gender estimation completed in 1.377736 seconds
2025-03-06 00:23:08,487 - Starting age/gender estimation for redis_key: 42465f204cf78ccaa3f599dce92e717c with backend: opencv
2025-03-06 00:23:08,991 - Age/gender analysis completed in 0.49958 seconds
2025-03-06 00:23:09,257 - Age/gender estimation completed in 0.770403 seconds
2025-03-06 00:23:10,232 - Starting age/gender estimation for redis_key: c5b0787bf9bb4d030fe0e0b15d97aadb with backend: opencv
2025-03-06 00:23:10,788 - Age/gender analysis completed in 0.553217 seconds
2025-03-06 00:23:11,051 - Age/gender estimation completed in 0.818596 seconds
2025-03-06 00:23:11,942 - Starting age/gender estimation for redis_key: 5ede97d55c8ced4bc1d1167091258399 with backend: opencv
2025-03-06 00:23:12,332 - Age/gender analysis completed in 0.390173 seconds
2025-03-06 00:23:12,599 - Age/gender estimation completed in 0.656851 seconds
2025-03-06 00:26:25,350 - Starting age/gender estimation for redis_key: 20c5aa03310b6447268a2b8be13e4584 with backend: dlib
2025-03-06 00:26:29,601 - Age/gender analysis completed in 4.245575 seconds
2025-03-06 00:26:50,904 - Age/gender estimation completed in 25.553724 seconds
2025-03-06 00:26:51,778 - Starting age/gender estimation for redis_key: 63fba3ffefff7e99be8e460ee7451b28 with backend: dlib
2025-03-06 00:26:53,920 - Age/gender analysis completed in 2.138494 seconds
2025-03-06 00:26:54,192 - Age/gender estimation completed in 2.414578 seconds
2025-03-06 00:26:55,031 - Starting age/gender estimation for redis_key: 42465f204cf78ccaa3f599dce92e717c with backend: dlib
2025-03-06 00:26:56,182 - Age/gender analysis completed in 1.146949 seconds
2025-03-06 00:26:56,442 - Age/gender estimation completed in 1.411032 seconds
2025-03-06 00:26:57,314 - Starting age/gender estimation for redis_key: c5b0787bf9bb4d030fe0e0b15d97aadb with backend: dlib
2025-03-06 00:26:59,271 - Age/gender analysis completed in 1.95309 seconds
2025-03-06 00:26:59,546 - Age/gender estimation completed in 2.231817 seconds
2025-03-06 00:27:00,454 - Starting age/gender estimation for redis_key: 5ede97d55c8ced4bc1d1167091258399 with backend: dlib
2025-03-06 00:27:02,542 - Age/gender analysis completed in 2.085204 seconds
2025-03-06 00:27:02,812 - Age/gender estimation completed in 2.358679 seconds
2025-03-06 00:31:18,641 - Starting age/gender estimation for redis_key: 20c5aa03310b6447268a2b8be13e4584 with backend: yolov8
2025-03-06 00:31:24,387 - Age/gender analysis completed in 5.738564 seconds
2025-03-06 00:31:45,703 - Age/gender estimation completed in 27.061828 seconds
2025-03-06 00:31:46,595 - Starting age/gender estimation for redis_key: 63fba3ffefff7e99be8e460ee7451b28 with backend: yolov8
2025-03-06 00:31:47,428 - Age/gender analysis completed in 0.83159 seconds
2025-03-06 00:31:47,700 - Age/gender estimation completed in 1.105797 seconds
2025-03-06 00:31:48,545 - Starting age/gender estimation for redis_key: 42465f204cf78ccaa3f599dce92e717c with backend: yolov8
2025-03-06 00:31:49,232 - Age/gender analysis completed in 0.682123 seconds
2025-03-06 00:31:49,507 - Age/gender estimation completed in 0.961493 seconds
2025-03-06 00:31:50,397 - Starting age/gender estimation for redis_key: c5b0787bf9bb4d030fe0e0b15d97aadb with backend: yolov8
2025-03-06 00:31:50,883 - Age/gender analysis completed in 0.486057 seconds
2025-03-06 00:31:51,155 - Age/gender estimation completed in 0.758056 seconds
2025-03-06 00:31:52,045 - Starting age/gender estimation for redis_key: 5ede97d55c8ced4bc1d1167091258399 with backend: yolov8
2025-03-06 00:31:52,570 - Age/gender analysis completed in 0.517456 seconds
2025-03-06 00:31:52,851 - Age/gender estimation completed in 0.806464 seconds
2025-03-06 11:48:56,723 - Starting age/gender estimation for redis_key: 20c5aa03310b6447268a2b8be13e4584 with backend: ssd
2025-03-06 11:49:25,248 - Age/gender analysis completed in 28.517129 seconds
2025-03-06 11:49:46,567 - Age/gender estimation completed in 49.843828 seconds
2025-03-06 11:49:47,473 - Starting age/gender estimation for redis_key: 63fba3ffefff7e99be8e460ee7451b28 with backend: ssd
2025-03-06 11:49:48,371 - Age/gender analysis completed in 0.893681 seconds
2025-03-06 11:49:48,642 - Age/gender estimation completed in 1.168238 seconds
2025-03-06 11:49:49,490 - Starting age/gender estimation for redis_key: 42465f204cf78ccaa3f599dce92e717c with backend: ssd
2025-03-06 11:49:49,795 - Age/gender analysis completed in 0.30248 seconds
2025-03-06 11:49:50,067 - Age/gender estimation completed in 0.577 seconds
2025-03-06 11:49:50,973 - Starting age/gender estimation for redis_key: c5b0787bf9bb4d030fe0e0b15d97aadb with backend: ssd
2025-03-06 11:49:51,280 - Age/gender analysis completed in 0.303136 seconds
2025-03-06 11:49:51,561 - Age/gender estimation completed in 0.588104 seconds
2025-03-06 11:49:52,466 - Starting age/gender estimation for redis_key: 5ede97d55c8ced4bc1d1167091258399 with backend: ssd
2025-03-06 11:49:52,786 - Age/gender analysis completed in 0.315792 seconds
2025-03-06 11:49:53,059 - Age/gender estimation completed in 0.593114 seconds
2025-03-06 11:50:51,350 - Starting age/gender estimation for redis_key: 20c5aa03310b6447268a2b8be13e4584 with backend: mtcnn
2025-03-06 11:50:55,564 - Age/gender analysis completed in 4.211091 seconds
2025-03-06 11:51:16,893 - Age/gender estimation completed in 25.542644 seconds
2025-03-06 11:51:17,786 - Starting age/gender estimation for redis_key: 63fba3ffefff7e99be8e460ee7451b28 with backend: mtcnn
2025-03-06 11:51:19,768 - Age/gender analysis completed in 1.975727 seconds
2025-03-06 11:51:20,047 - Age/gender estimation completed in 2.261572 seconds
2025-03-06 11:51:20,893 - Starting age/gender estimation for redis_key: 42465f204cf78ccaa3f599dce92e717c with backend: mtcnn
2025-03-06 11:51:22,470 - Age/gender analysis completed in 1.573375 seconds
2025-03-06 11:51:22,745 - Age/gender estimation completed in 1.85147 seconds
2025-03-06 11:51:23,639 - Starting age/gender estimation for redis_key: c5b0787bf9bb4d030fe0e0b15d97aadb with backend: mtcnn
2025-03-06 11:51:25,214 - Age/gender analysis completed in 1.570525 seconds
2025-03-06 11:51:25,482 - Age/gender estimation completed in 1.842964 seconds
2025-03-06 11:51:26,374 - Starting age/gender estimation for redis_key: 5ede97d55c8ced4bc1d1167091258399 with backend: mtcnn
2025-03-06 11:51:27,918 - Age/gender analysis completed in 1.539047 seconds
2025-03-06 11:51:28,198 - Age/gender estimation completed in 1.824569 seconds
2025-03-06 11:52:22,923 - Starting age/gender estimation for redis_key: 20c5aa03310b6447268a2b8be13e4584 with backend: centerface
2025-03-06 11:52:39,683 - Age/gender analysis completed in 16.756942 seconds
2025-03-06 11:53:00,998 - Age/gender estimation completed in 38.074422 seconds
2025-03-06 11:53:01,892 - Starting age/gender estimation for redis_key: 63fba3ffefff7e99be8e460ee7451b28 with backend: centerface
2025-03-06 11:53:02,890 - Age/gender analysis completed in 0.991377 seconds
2025-03-06 11:53:03,165 - Age/gender estimation completed in 1.272959 seconds
